datasetId,datasetName,datasetDescription,ticker,assetName,weight,value,sector,country,dependencyWeight,dependencyType,dependencyReason
short-25,Top 25 Most Shorted Stocks,High short interest US equities screened for geopolitical risk,GME,GameStop Corp.,4,10000,consumer discretionary,United States,0.8,direct,Headquarters and retail operations
short-25,Top 25 Most Shorted Stocks,High short interest US equities screened for geopolitical risk,GME,GameStop Corp.,4,10000,consumer discretionary,China,0.5,indirect,Hardware and merchandise supply chain
short-25,Top 25 Most Shorted Stocks,High short interest US equities screened for geopolitical risk,GME,GameStop Corp.,4,10000,consumer discretionary,Japan,0.3,indirect,Gaming IP licensing partnerships
short-25,Top 25 Most Shorted Stocks,High short interest US equities screened for geopolitical risk,AMC,AMC Entertainment Holdings,4,10000,communication services,United States,0.85,direct,Headquarters and domestic theatre network
short-25,Top 25 Most Shorted Stocks,High short interest US equities screened for geopolitical risk,AMC,AMC Entertainment Holdings,4,10000,communication services,United Kingdom,0.35,indirect,Odeon Cinemas subsidiary
short-25,Top 25 Most Shorted Stocks,High short interest US equities screened for geopolitical risk,AMC,AMC Entertainment Holdings,4,10000,communication services,China,0.3,indirect,Wanda historical stake and ticket revenue
short-25,Top 25 Most Shorted Stocks,High short interest US equities screened for geopolitical risk,BYND,Beyond Meat Inc.,4,10000,consumer staples,United States,0.75,direct,Headquarters and manufacturing
short-25,Top 25 Most Shorted Stocks,High short interest US equities screened for geopolitical risk,BYND,Beyond Meat Inc.,4,10000,consumer staples,China,0.5,indirect,JV production and market expansion
short-25,Top 25 Most Shorted Stocks,High short interest US equities screened for geopolitical risk,BYND,Beyond Meat Inc.,4,10000,consumer staples,Netherlands,0.3,indirect,EU manufacturing facility
short-25,Top 25 Most Shorted Stocks,High short interest US equities screened for geopolitical risk,LCID,Lucid Group Inc.,4,10000,consumer discretionary,United States,0.7,direct,Headquarters and Arizona factory
short-25,Top 25 Most Shorted Stocks,High short interest US equities screened for geopolitical risk,LCID,Lucid Group Inc.,4,10000,consumer discretionary,Saudi Arabia,0.8,indirect,PIF majority ownership and planned Jeddah factory
short-25,Top 25 Most Shorted Stocks,High short interest US equities screened for geopolitical risk,LCID,Lucid Group Inc.,4,10000,consumer discretionary,China,0.3,indirect,Battery and component supply chain
